st_gene_id	gene_id	gene_symbol	fpkm_con_1	fpkm_con_2	fpkm_con_3	fpkm_p_1	fpkm_p_2	fpkm_p_3	tpm_con_1	tpm_con_2	tpm_con_3	tpm_p_1	tpm_p_2	tpm_p_3	read_count_con_1	read_count_con_2	read_count_con_3	read_count_p_1	read_count_p_2	read_count_p_3	average_fpkm_con	average_fpkm_p	average_tpm_con	average_tpm_p	average_read_count_con	average_read_count_p
G9606_6027	92017	SNX29	2.78	2.83	3.24	3.28	3.14	3.05	5.61	5.64	6.61	6.95	6.74	6.56	438.34	374.53	502.43	503.01	495.06	474.85	2.95	3.156666667	5.953333333	6.75	438.4333333	490.9733333
G9606_17693	5510	PPP1R7	40.24	39.94	39.6	41.85	35	40.36	81.31	79.58	80.74	88.71	75.15	86.64	995	850	946.71	998.86	861.59	972	39.92666667	39.07	80.54333333	83.5	930.57	944.15
G9606_11440	11338	U2AF2	165.23	167.85	170.59	156.77	148.96	152.67	333.84	334.42	347.84	332.28	319.85	327.77	7331	6386.48	7461.1	6802.39	6549.86	6681.82	167.89	152.8	338.7	326.6333333	7059.526667	6678.023333
G9606_19118	114327	EFHC1	3.29	3.29	3.05	3.56	3.6	3.49	6.65	6.55	6.22	7.56	7.74	7.5	439.82	378.85	401.47	463.21	472.25	453.64	3.21	3.55	6.473333333	7.6	406.7133333	463.0333333
G9606_20689	389792	IER5L	15.91	17.36	16.68	15.3	14.86	14.14	32.15	34.59	34.01	32.43	31.9	30.36	831	781.96	858.98	777	761.94	718	16.65	14.76666667	33.58333333	31.56333333	823.98	752.3133333
G9606_33286	5430	POLR2A	64.25	71.39	74.45	78.3	76.52	76.66	129.81	142.24	151.82	165.95	164.32	164.57	8448	8095.58	9655.05	10011.32	9880.92	9800.94	70.03	77.16	141.29	164.9466667	8732.876667	9897.726667
G9606_2538	7482	WNT2B	1.84	2.03	1.98	1.92	1.72	2.11	3.71	4.05	4.04	4.08	3.69	4.52	247.24	231.6	251.42	253.4	229.28	254.95	1.95	1.916666667	3.933333333	4.096666667	243.42	245.8766667
G9606_31622	8802	SUCLG1	85.55	84.09	82.56	79.05	82.36	76.78	172.85	167.54	168.34	167.55	176.85	164.83	2050	1737.79	1951	1842	1937.99	1788.88	84.06666667	79.39666667	169.5766667	169.7433333	1912.93	1856.29
G9606_21632	91752	ZNF804A	0.4	0.37	0.41	0.53	0.54	0.41	0.8	0.74	0.85	1.12	1.17	0.88	35	28	35.92	44.97	46.97	35	0.393333333	0.493333333	0.796666667	1.056666667	32.97333333	42.31333333
G9606_22746	7270	TTF1	6.08	5.9	5.93	5.55	5.43	6.21	12.28	11.76	12.1	11.77	11.66	13.33	349.34	286.17	340.2	317.08	302.62	353.77	5.97	5.73	12.04666667	12.25333333	325.2366667	324.49
